Post Content,Themes,Thought Leadership?
"Corewell Health is the first health system in Michigan to implant a device to improve upper body mobility in patients who have experienced a debilitating stroke.â€œSurvivors of an ischemic stroke who have not regained significant arm and hand mobility donâ€™t have many options. This device, coupled with intensive rehabilitation therapy, has the potential to significantly improve the quality of life for these patients.â€ - Dr. Sanjay Patra, Division Chief of Neurovascular Neurosurgery at Corewell Health in Grand RapidsRead More: https://bit.ly/3PMV6p6","Digital transformation,Innovation,Product Development",
"Itâ€™s hard for me to believe that it is nearly four years, serving Samâ€™s Club business in my role.Â These past four years have been most wonderful.Â Leading an incredible technology team through this Digital Transformation journey has been an absolute honor. This team innovated, designed, and built products and platformsÂ thatÂ helpedÂ increase revenue to unprecedented levels through new member conveniences. We helpedÂ drastically improve NPS, deliveredÂ record new membership and improved productivity. We harnessed the power of our member and associate data to create a connected AI ecosystem that has changed the way associates work and members shop. We prioritized engineering and operational excellence, ensuring that products are performant, reliable, scalable, and secure.I am truly grateful for the opportunity and the experiences. What a ride! I am even more excited to share that I will be taking on a new role within Walmart, to lead our Omni Commerce, Marketplace Platforms and Emerging Technology to fuel the end-to-end omni channel customer experiences for Walmart U.S. and beyond. I look forward to partnering with our U.S. and Global teams in enabling delightful experiences for our customers and driving better business outcomes.","Digital transformation,MISC",
"Tesla revealed that Optimus, its humanoid robot, can now sort objects autonomously and do yoga!Whats next?","Product Development,AI/Machine Learning,Digital transformation",
"Celebrating 4 Years of Sydney Health Platform!

Four years ago, we embarked on a journey to revolutionize healthcare access and wellness for our members. Today, we're excited to celebrate the 4th anniversary of our AI-Enabled Sydney Health Member Platform, a game-changer in the world of health and wellness! 

Our platform was designed with one goal in mind - to make health and wellness easy, personalized, and resourceful for our members. With a registered membership now standing at a staggering ~18 million, we're proud to see the impact we've had on people's lives.

Here's how the Sydney Health platform is making a real difference:

✨ Virtual Care: Access to healthcare from the comfort of your home.
✨ Claims and Bill Pay: Streamlined and hassle-free transactions.
✨ ID Card and HealthPass: Instant access to your health information.
✨ Personalized Find Care: Tailored healthcare solutions at your fingertips.
✨ AI Enabled Conversational Chat: Real-time, personalized support at your convenience.
✨ Unified Electronic Health Record Tracker: Seamlessly manage your health records in one place.

Our platform goes beyond the basics, helping our members in their wellness journey:

🥗 AI Nutrition Tracker: Smart guidance for healthier eating.
🩺 Health Assessment: Understand your health status and areas for improvement.
🏃 Activity Tracking: Stay active and motivated with ease.
📰 Personalized Health News: Stay informed about your health in a way that matters to you.

Our team and leaders have put in countless hours to create a humanized experience that combines cutting-edge technology with a human-centered design approach. This blend of tech and empathy has given birth to what we call ""Techequity,"" ensuring that everyone has easy access to their health and wellness needs.

I am incredibly proud of the work that the Elevance Health enterprise has accomplished over the past four years. Our mission is to empower individuals and elevate the health of humanity, and the success of the Sydney Member Platform is a testament to our dedication.

A big thank you and congrats to our team, leaders, and most importantly, our members, for being a part of this incredible journey. Here's to many more years of transforming healthcare and wellness together! #HealthTech #Wellness #Anniversary #Techequity #ElevanceHealth #sydneyhealth

Let's continue to make a positive impact on millions of lives!

Kimberly Rival Matthew Penwell Ajoy Ranga Kumar Gudavalli Rajeev Ronanki Katie Bradley","Human-centered design,Customer centricity,Digital transformation,AI/Machine Learning,User Experience,Product Development",checked
Google focused on enhancing advertising experience and performance for its users and brands. Smartly is proud to be part of the earliest partners to build and launch Demand Gen.,"Digital transformation,User Experience,Product Development",
"Whirlpool Corporation has supported the newly launched Matter 1.2 smart home connectivity update. This update is the first step in bringing major kitchen and laundry room appliances into the Matter (Connectivity Standards Alliance) ecosystem.

“The number of connected devices in peoples’ homes is increasing,” said Murat Genc, Whirlpool Corporation's global technology and data officer. “Our work to bring Matter support to Whirlpool Corp. appliances will improve user experience with more interoperability across these devices while simplifying development and improving reliability.”

#Tech #IOT #Data","Digital transformation,User Experience,Customer centricity,Research & Development,Product Development",
"Itâ€™s always a great day when you get to talk with the renowned Laura Desmond CEO of Smartly about the convergence of media, technology and digital transformation. Watch to learn: ðŸ“£ Why creative diversification / creative velocity is the new performance leverðŸ“£ How to find that sweet spot between social and commerceðŸ“£ Why brand trust is the new brand loyaltyðŸ“£ The difference between hyping a GenAI future ðŸ†š building for ithttps://lnkd.in/djj7Svxm",Digital transformation,
"Delighted to announce that our idea with the prototype, ""Virtual Service Engineer powered by Generative AI,"" has clinched the top honors at the internal hackathon, also known as the Shark Idea Tank. This award was presented to us by our Chief Information Officer Jahid at our flagship SynerGE event. The core idea revolves around empowering service engineers to drastically reduce the time required to troubleshoot equipment malfunctions, all thanks to the remarkable capabilities of Generative AI. The Generative AI uses internal knowledge repository such as service manuals and problem solution database, to swiftly provide troubleshooting insights for customer-reported issues. This innovation promises to streamline the lives of our service engineers, sparing them the laborious task of sifting through voluminous PDFs in search of relevant solutions. We've harnessed the cutting-edge Retrieval Augmented Generation (RAG) technique, which marries a retrieval system for pinpointing essential documents through similarity-based search and a generation system for creating responses based on the retrieved information. For retrieval, we've adopted Amazon Kendra, the managed search service by AWS, while our generation capabilities are powered by the LLAMA2 7B model deployed within AWS SageMaker. In addition, we've used Langchain and Streamlit for creating our prototype. Although we created a working prototype, we also have a list of lessons learnt and technical challenges. The path forward is to enhance the accuracy by working through the technical challenges. I will capture those lessons in the next post.To Karthika .., Naveen Kumar G, I extend my heartfelt appreciation for your dedicated efforts in transforming this concept into a tangible prototype. Great work. To Raghuveer ., Atmaja Apsangi, Sumit Agrawal, Sombir Kadian, I extend my gratitude for fostering the Shark Idea Tank platform, a catalyst that expedited my innovation journey and exposed me to a realm of other ground-breaking ideas. Dattaraj Rao, your insightful articles have been a beacon of knowledge, enriching my understanding of Generative AI concepts. I'm grateful for your time and the opportunity to validate our approach last week. Yogish Pai, Thank you for always being there to support. Without your assistance, resolving issues in a timely manner would have been a Herculean task, making it challenging to complete our prototype within the tight timeframe of 2-3 weeks.","Product Development,AI/Machine Learning,Digital transformation",
"Hello, connections!I am sharing my project titled 'Sentiment Analysis on Brands'.The project performs Turkish Sentiment Analysis and includes the following stages:Data Collection: Instead of relying on a pre-existing dataset, I employed the Web Scraping technique to gather comments from the DonanÄ±mHaber website.(I checked the robots.txt file on DonanÄ±mHaber.)Natural Language Processing: I performed Turkish sentiment analysis with the collected comments, and in this stage, I had to employ a variety of different techniques. For text labeling, I used FLAN-T5 and OpenAI, for feature extraction, I utilized BERT, and for model training, I employed Keras.Sequential().Web Application with Flask: I developed a dynamic web application using Flask to visualize the results of the Sentiment Analysis with Apache ECharts graphics.You can review the project at https://lnkd.in/ds7tfKUV. It contains detailed information about the project, including extensive details in the notebook files.While the project was built dynamically with Flask, if you'd like to explore the website without running the project, you can access the static version https://lnkd.in/dSAi7a7t. Please note that the data at this address isn't dynamic like the Flask application, and it offers only the 'mercedes.html' page since there are no separate sentiment pages for each brand. To view sentiment pages for all brands, the Flask application needs to be running.","AI/Machine Learning,Digital transformation,Data and Analytics",
"When I talk to people about our Center for Innovation Tech Hub, such as this group of American College of Healthcare Executives who visited our hospital this week, I liken it to both showcasing technology we currently use like a permanent exhibit at a museum and testing new solutions like a living laboratory for digital health. 

Some of the technology in the Tech Hub is still a few steps ahead of a hospital pilot roll-out such as our smart room capabilities to adjust room controls, nurse requests and more with the tap of a button. Other projects such as ambient intelligence monitors started out in Tech Hub but have since been implemented on some of our inpatient floors, yet we can continue to use the Tech Hub space to highlight this technology to other stakeholders without disrupting patient care. 

#digitalhealth #healthcareinnovation #technologyhub ","Digital transformation,Product Development,AI/Machine Learning",checked
Learn how Adventist West is achieving its goal of exception-based utilization management (UM) by pairing process changes with AI-driven medical review automation. https://optumin.co/092hxyhashtag#RevenueCycle hashtag#Optum hashtag#Provider hashtag#UtilizationManagment,"AI/Machine Learning,Digital transformation,Product Development",
"AgreeYa is a Global Systems Integrator with more than two decades of rich industry experience helping organizations circumnavigate their digital transformation challenges with our stack of solutions. We have helped 550+ global organizations digitally transform and adopt modern workplace technologies with confidence.Learn more: https://bit.ly/3QbkmXrhashtag#digitaltransformation, hashtag#modernworkplace hashtag#offerings hashtag#businesstransformation",Digital transformation,
"Exited to share an update on all the great Azure AI tools and capabilities we are bringing to market to help the ecosystem of developers bring real world AI powered applications to market. For our Health and Life Sciences developer community (both independent software developers and in house development shops), these are many of the key capabilities you will need to truly unleash the power of Generative AI for the demanding set of use cases in healthcare.","AI/Machine Learning,Product Development,Digital transformation",
"Last month was full of exciting news across Azure Data & AI! Weâ€™re providing our customers with more generative AI model choices and greater flexibility to customize their generative AI apps.Learn about our approach to providing the most comprehensive collection of frontier and OSS models in Azure AI, and much more, in this month's blog: https://lnkd.in/gP2_P5p9- Access new open source foundation models for vision and the hashtag#Whisper model from OpenAI- Manage hashtag#LLMOps with code-first prompt flow experiences and model monitoring for generative AI- Discover the best techniques to improve information retrieval for generative AI apps","AI/Machine Learning,Customer centricity,Product Development,Digital transformation",
"I’m always fascinated about ideas and inventions that make technology seamless. Thought provoking video, notably the concept of “screenless, seamless and sensing” experiences. 

Excited to see companies truly start imagining and prototyping experiences that transcend the devices and screens.","Digital transformation,Innovation",
Meet ciro. Our new interconnected network of platforms that provide a seamless blend of human-first service and innovative technology for clinicians and facilities alike.,"Product Development,Digital transformation",
"The incredible shift towards digital health tools among our older generation holds immense potential for empowering individuals to access healthcare, all while preserving their cherished autonomy and independence as they gracefully age. What's more, it significantly contributes to their overall health and wellbeing. At Elevance Health, we're witnessing an inspiring trend among our affiliated Medicare health plan members who are readily embracing technology and discovering the immense value of our digital solutions, including the exceptional Sydney Health platform. In fact, we're thrilled to announce that the digital adoption of Sydney has surged by an astounding 104% since the beginning of 2020.

We want to extend our heartfelt gratitude to FierceHealthcare for spotlighting our unwavering commitment to enhancing digitally-enabled healthcare tools, ultimately aimed at enhancing the healthcare journey of our esteemed Medicare members. It's truly a testament to the fact that older adults are not just embracing health technology; they are thriving with it.

Read the full feature here: https://lnkd.in/gGvtJ-f5

#DigitalHealth #ElevanceHealth #Medicare #SydneyHealth #EmpowerSeniors","Digital transformation,Product Development,Customer centricity",checked
"Data Science and Artificial Intelligence are key technologies that -when used responsibly- can help accelerate decarbonization, improve safety, create higher value jobs and provide immediate productivity benefits. All these are essential elements of the energy transition.Looking forward to leading our teams through this strategic collaboration between IBM and ADNOC Group.","AI/Machine Learning,Digital transformation,Product Development",
Enjoyed talking with Christopher Patterson about our Voice AI work and more with Becker's Healthcare.hashtag#voiceai hashtag#voiceactivatedworkflow hashtag#contactcenter,"AI/Machine Learning,Product Development,Digital transformation",
"ðŸŽƒ Today, I bring to you the frightening world of Photoshop's rendering of humans, a part of its generative AI. Simple prompts, terrifying results. May your dreams at night be devoid of such terrors.I'm overall impressed how quickly adobe was able to integrate some generative AI into its software suite. In some areas it's simply FAR behind - especially when rendering humans. Overall, I'm happy to see large companies produce beta software and releases that aren't perfect. This is a good pattern IMO. hashtag#photoshop hashtag#generativeai hashtag#aiart hashtag#ai hashtag#design hashtag#generativeart","AI/Machine Learning,Digital transformation",
"So excited to be invited as keynote at Moveworks Global. We use this incredible technology as our smart virtual assistant which we call “Red” across Honeywell globally. With GenAI … Red is getting smarter and smarter, improving our global employee experience one use case at a time! Thanks to Bhavin Shah and Varun Singh for making technology that just works and for leading the integration of GenAI into the Moveworks platform. This will result in a more intelligent and improved holistic employee experience. Thanks to my team Angela Bhurji and Salah Kaddumi for making the vision a reality!","Digital transformation,AI/Machine Learning",
"This is insane! OpenAI CEO Sam Altman shows how to build your custom AI agent in less than 4 minutes and without writing a single line of code ðŸ˜³The fact that you can now create and sell your GPTs / AI apps without knowing how to code represents a monumental shift in technology we haven't seen in 15 years.Just think about it:- GPT Advisor can help you validate your startup idea and give advice from the best VCs in the world.- GPT Engineer can write software and build various applications for you.- GPT Teacher can be your personal tutor and help you learn anything you want.- GPT Analyst can perform stock market research and generate insightful financial reports by analyzing vast datasets.- GPT Creator can help you generate content ideas, optimize your LinkedIn posts, and help edit your newsletter.And that's just the tip of the iceberg. The future of programming is Natural Language and it will change entrepreneurship forever.P.S. check out ðŸ””linas.substack.comðŸ””, it's the only newsletter you need for all things when Finance meets Technology. For founders, builders, and leaders.","AI/Machine Learning,Digital transformation",
A pleasant surprise â€¼ï¸ Excited to share my journey in digital transformation! ðŸš€ Just earned the prestigious hashtag#TopVoice badge on LinkedIn for my insights and expertise. ðŸ’¡Grateful for the support and looking forward to inspiring more in hashtag#DigitalTransformation. ðŸ¤–Let's connect and drive innovation together! ðŸ’»ðŸŒ hashtag#TopVoice2023 hashtag#TechInnovation hashtag#Technology hashtag#Digital hashtag#digitaltechnology hashtag#businesstransformation,Digital transformation,
"Absolute madness.OpenAI CEO Sam Altman shows how to build your own GPT app in less than 4 minutes - without writing a single line of code.The ability to build and sell these AI apps without any coding knowledge is going to be one of the biggest shifts in technology this century.We could potentially see an explosion of new products and solo entrepreneurs in the coming years.________If you want to learn how to build, sell or use GPT apps, sign up to my AI newsletter with 450k+ readers. I'll be sharing notes on building GPTs as soon as I get access: https://lnkd.in/d2ZcidKG","AI/Machine Learning,Product Development,Digital transformation",
"Today, we're excited to unveil watsonx.governance â€“ a product that will help businesses automate responsible, transparent machine learning and hashtag#GenAI workflows on one integrated platform.A critical component of watsonx AI and Data, watsonx.governance can help businesses:ðŸ”„ Automate hashtag#AI lifecycle governanceðŸ”’ Proactively manage riskâœ… Facilitate compliance with policies, standards, and regulationsGet the details on the general availability coming next month, here: https://lnkd.in/gGmNSZZg","AI/Machine Learning,Product Development,Digital transformation",
VentureBeat writes about the earth-shattering effect of the release of Llama and Llama-2 on the LLM landscape.,"AI/Machine Learning,Digital transformation",checked
Beautiful,"Product Development,Innovation,Digital transformation",
"I am proud to announce that Cumulus is live and the Cumulus machine is available for pre-order. I'll be sharing more of my journey later today, taking you behind the scenes of how this revolutionary machine came to life.","Product Development,Digital transformation",
"As one of the AI Ambassadors for Honeywell.. I was one of the early adopters of Copilot. It massively improves productivity across roles. Our developer experience platform is now powered by Copilot, which means we are building more cool products and features faster on hashtag#HoneywellForge hashtag#copilot","AI/Machine Learning,Product Development,Digital transformation",checked
Excited to share my blog post below about our digital transformation process at HealthEdge!,Digital transformation,checked
"If done right, AI has the potential to enhance, enable and liberate creativity. Today my colleagues at Google DeepMind and YouTube announced Lyria, our most advanced music generation model to date. This project illustrates two important points about how we can maximize the benefits of AI. First, the best and strongest uses of AI will come through collaboration. And second, weâ€™re just beginning to see the potential of AI to assist with our most ambitious, imaginative and creative endeavors. And just as important: Weâ€™re also taking measures to do this responsibly and have been working on that for a while, from working closely with creators, to including watermarking all Lyria-generated audio with SynthID technology. Much more to come. For now, congrats to my colleagues at Google DeepMind, YouTube and many others across Google (incl. Demis Hassabis,Neal Mohan, Lyor Cohen, Vivien Lewit, Tom Hume, Eli Collins, Jesse Engel, Rushil Mistry, Douglas Eck, Christopher R., Dr. Arathi Sethumadhavan, Mahlet S., Mira Lane and so many others)https://lnkd.in/g6eeRxPD","AI/Machine Learning,Digital transformation,Product Development,Customer centricity",checked
"Today weâ€™re announcing two new milestones in our generative AI research: Emu Video & Emu Edit. These two new models build upon our previous work in both images and videos to deliver impressive new results in high quality, diffusion-based text-to-video generation and controlled image editing using just text instructions.More details âž¡ï¸ https://bit.ly/46hkj15Emu Video paper âž¡ï¸ https://bit.ly/3sBio9IEmu Edit paper âž¡ï¸ https://bit.ly/3QBj2vY1ï¸âƒ£ Emu VideoThis new text-to-video model leverages our Emu image generation model and can respond to text-only, image-only or combined text & image inputs to generate high quality video. It uses a factorized approach that not only allows us to train video generation models more efficiently but also produces higher quality video generations.The outputs of this model were preferred by 96% of respondents over our previous model based on output quality in human evaluations.2ï¸âƒ£ Emu EditThis new model is capable of free-form editing through text instructions. Unlike many existing models, Emu Edit precisely follows instructions and ensures only specified elements of the input image are edited while leaving areas unrelated to instruction untouched. This enables more powerful and reliable editing and iteration.To train the model we developed a dataset containing 10M synthesized samples of input images, instructions and target outputs â€” the largest dataset of its kind to date. As a result the model demonstrates a new state-of-the-art in both qualitative and quantitative evaluations for a range of image editing tasks.While this work is still fundamental research, we see exciting potential for future cases for this technology to enhance the way we share, communicate and express ourselves in creative ways in our family of apps. Weâ€™re excited to continue pushing this field of work forward.","Product Development,AI/Machine Learning,Digital transformation",
Explore how this CPG manufacturer implemented hashtag#MicrosoftAzure to automate its commercial environment and use data analytics to deliver on its revenue goals.  Ready for a deep dive?  hashtag#PwCMicrosoft hashtag#MSpartner hashtag#MicrosoftAzure hashtag#Transformation hashtag#TechPowered,"Data and Analytics,Digital transformation,AI/Machine Learning",
Smartly OG Innovation. Drives performance well beyond the marketplace average.,"User Experience,Data and Analytics,Digital transformation,Innovation",
"As one of the AI Ambassadors for Honeywell.. I was one of the early adopters of Copilot. It massively improves productivity across roles. Our developer experience platform is now powered by Copilot, which means we are building more cool products and features faster on hashtag#HoneywellForge hashtag#copilot","AI/Machine Learning,Product Development,Digital transformation",checked
"Had a great time talking with Robb and Josh on the Invisible Machines Podcast chatting about the roll out of the AI@Morgan Stanley Assitant and the thrill of creating a sophisticated analytical solution for our FA’s. 

Check it out below.","Digital transformation,AI/Machine Learning,Product Development",checked
"Meta AI just dropped EmuVideo, generating 4-second short videos at 512x512 resolution and 16 FPS. Idea is quite straightforward: text -> image first, then do a ""super-resolution"" of the image along the temporal axis to synthesize motion.Long-form videos, however, are still out of reach. I see short videos as a kind of ""system 1 thinking"": you don't need much reasoning to generate 4 seconds. But system-2 type video generation needs coherence, long-term memory, and much higher computational cost.Regardless, EmuVideo is still a big upgrade on the video diffusion quality. Congrats to the Meta AI team! https://lnkd.in/gSavYt77","AI/Machine Learning,Digital transformation",
"This article is written by J. Todd Frazier, System Director, Center for Performing Arts Medicine, about how music therapy is incorporated into healthcare practices at Houston Methodist.","Digital transformation,Customer centricity",checked
"In this era of digital health transformation, it is imperative to strike a delicate balance between reaping the benefits of AI and doing it safely. I'm pleased to announce our latest publication, co-authored with Kevin Mooney, Esq., Senior Director of Enterprise Data Governance. This article emphasizes the importance of a holistic, multidisciplinary approach to accelerate digital innovation while safeguarding sensitive patient information.",Digital transformation,checked
"I'm excited to connect with colleagues and industry peers to discuss the potential of Artificial Intelligence (AI) in healthcare and other industries. AI has the ability to revolutionize patient outcomes, increase productivity, and bring life-saving treatments to the market faster. How is your organization utilizing AI to solve problems and better the future of healthcare. hashtag#AIinHealthcare hashtag#HealthcareRevolution hashtag#PatientOutcomes hashtag#Productivity hashtag#GBIImpact","AI/Machine Learning,Customer centricity,Digital transformation",
"More and more, top medical organizations are using analytics to personalize care. As part of its future Innovation Institute, Shepherd Center will establish a data analytics program to advance precision rehabilitation for people experiencing the most complex conditions, including spinal cord and brain injuries.
 
“Shepherd Center is uniquely positioned to join other leaders in transforming healthcare for the future,” says Deborah Backus, PT, Ph.D., FACRM, vice president of research and innovation at Shepherd Center. 

Learn more about how organizations are deploying analytics. https://lnkd.in/gXa9tkCd #PursuingPossible","Data and Analytics,Digital transformation",
"New on Best Execution: Planixs launches liquidity data insights solution, CEO Neville Roberts gives insight on how the how the new tool aims to unlock the power of financial institutionsâ€™ untapped liquidity data to provide accessible and actionable data and analytics.hashtag#markets hashtag#data hashtag#trading hashtag#analytics hashtag#technology hashtag#liquidity","Data and Analytics,Digital transformation,Product Development",checked
"Gemini is finally out. Its technical report, while 60 pages long, is light in details. I did a quick read-through and here's the summary.1. Gemini was written in Jax and trained using TPUs. The architecture, while not explained in details, seems similar to that of DeepMind's Flamigo, with separate text encoder and vision encoder.2. Gemini Pro's performance is similar to GPT-3.5 and Gemini Ultra is reported to be better than GPT-4. Nano-1 (1.8B params) and Nano-2 (3.25B params) are designed to run on-device.3. 32K context length.4. Very good at understanding vision and speech.5. Coding ability: the big jump in HumanEval compared to GPT-4 (74.4% vs. 67%), if true, is awesome. However, the Natural2Code benchmark (no leakage on the Internet) shows a much smaller gap (74.9% vs. 73.9%).6. On MMLU: using COT@32 (32 samples) to show that Gemini is better than GPT-4 seems forced. In 5-shot setting, GPT-4 is better (86.4% vs. 83.7%).7. No information at all on the training data, other than they ensured ""all data enrichment workers are paid at least a local living wage.""hashtag#gemini hashtag#llms hashtag#multimodal hashtag#aiengineering","AI/Machine Learning,Digital transformation",
Excited to be a part of this great initiative!,"Digital transformation,User Experience,Research & Development,Data and Analytics,Customer centricity",
"Starting today you can try a demo of Audiobox, our new foundation research model for audio generation.Try Audiobox âž¡ï¸ https://bit.ly/3v0hxQGThe demo includes a range of Audioboxâ€™s capabilities:â€¢ Zero shot TTSâ€¢ Description-conditioned TTSâ€¢ Voice restylizationâ€¢ Text to sound effectsâ€¢ Voice infillingâ€¢ Sound infillingPlus Audiobox Maker, a demo that combines these capabilities to create a story using generative audio.","Product Development,Digital transformation",
"It’s alive!!

https://lnkd.in/gB2dA8hk #tefca #qhin #interoperability #healthcare",Digital transformation,
"I was honored to share my passion for analytics in a recent Forbes article highlighting three trends paving the way for transformation in health care. Hereâ€™s a recap: â¤ï¸ Personalized recommendations. Tools informed by data can help care providers recommend equally effective and more affordable medications, helping reduce financial barriers to care. ðŸ’¡ Reimagined plans and experiences. Wearable devices can provide insights about our health, but the key is knowing what to do with that information. Resources offering real-time, actionable feedback can bring significant value and encourage healthier lifestyle decisions, especially when integrated with a comprehensive care plan. ðŸ¤ Strategic collaborations. Cultivating new relationships can help drive innovation and bring together novel approaches, offering an opportunity to scale solutions to maximize impact. One example is the UnitedHealthcare Accelerator, which helps early startups grow and facilitates a pathway for commercialization. These approaches are driven by data and present a unique opportunity for us to make health care more equitable and affordable. Check out the photo below at the Optum Innovation Center where we are helping build the future of health care and read the article for a deeper dive on these topics: https://lnkd.in/gJwhhnaz","Product Development,Digital transformation,Customer centricity,AI/Machine Learning,Data and Analytics",checked
