Current LinkedIn URL,First Name,Last Name,Company,Industry,Title
https://www.linkedin.com/in/greg-deavens-b4a13b8/,Greg,vens,Independence Blue Cross,Healthcare,Chief Executive Officer
https://www.linkedin.com/in/ed-thomas-b845415/,Ed,as,Tilly's,Retail,Chief Executive Officer
https://www.linkedin.com/in/jim-donelon-48778812/,James,nelon,Louisiana,Government,Insurance Commisioner / Director of Insurance
https://www.linkedin.com/in/darylmadams/,Daryl,Adams,The Shyft Group,Manufacturing,Chief Executive Officer
https://www.linkedin.com/in/maureen-bernacki-5640479b/,Maureen,ernacki,Interwell Health,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/jim-cracchiolo-a95770108/,James,hiolo,Ameriprise Financial,Financial Services,Chief Executive Officer
https://www.linkedin.com/in/carl-anderson-5b93704/,Carl,rson,New Breed Logistics,Technology,Chief Financial Officer
https://www.linkedin.com/in/thomas-zajkowski-aa6a5136,Thomas,kowski,Bioagilytix,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/sherifzakhary/,Sherif,akhary,Aon,Financial Services,Chief Executive Officer
https://www.linkedin.com/in/martie-edmunds-zakas-63b9835/,Martie, Zakas,Mueller Water Products,Manufacturing,Chief Financial Officer
https://www.linkedin.com/in/mike-sprengnether-0ba59758/,Mike,ther,Eli Lilly and Company,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/arvindkrishna/,Arvind,rishna,IBM,Technology,Chief Executive Officer
https://www.linkedin.com/in/jimdatin,Jim,tin,Bioagilytix,Healthcare,Chief Executive Officer
https://www.linkedin.com/in/adamforoughi/,Adam,ughi,AppLovin,Technology,Chief Executive Officer
https://www.linkedin.com/in/salliekrawcheck/,Sallie,wcheck,Ellevest,Financial Services,Chief Executive Officer
https://www.linkedin.com/in/akash-palkhiwala-1b369520/,Akash,iwala,Qualcomm,Technology,Chief Financial Officer
https://www.linkedin.com/in/edward-skyler-32710330/,Edward,Skyler,Citi Foundation,Financial Services,Chief Executive Officer
https://www.linkedin.com/in/tony-bates-679227a5/,Tony,ates,"Genesys Cloud Services, Inc.",Technology,Chief Executive Officer
https://www.linkedin.com/in/mgnyc/,Michael, Gordon,"MongoDB, Inc.",Technology,Chief Financial Officer
https://www.linkedin.com/in/rhornby/,Rob,nby,Alix Partners,Professional Services,Partner & Managing Director
https://www.linkedin.com/in/patricia-clabeaux-b468486a/,Patricia,Clabeaux,Independent Health,Healthcare,Chief Human Resources Officer
https://www.linkedin.com/in/amp75/,Amit,atel,Azurity,Healthcare,Chief Executive Officer
https://www.linkedin.com/in/susanmitchellchrohr/?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAiy4OkBu6PIa1bwZ36QqZqyF4KObM_AGgA,Susan,chell,Edward-Elmhurst Memorial Hospital,Healthcare,Chief Human Resources Officer
https://www.linkedin.com/in/henry-fischer-20820975/,Henry,scher,Cision US Inc.,Technology,Chief Executive Officer
https://www.linkedin.com/in/julie-sweet/,Julie,Sweet,Accenture,Professional Services,Chief Executive Officer
https://www.linkedin.com/in/ari-hoffman-5033611/,Ari,man,Ted Baker North America,Retail,Chief Executive Officer
https://www.linkedin.com/in/glenn-macinnes-62bb6149/,Glenn,Innes,Webster Bank,Financial Services,Chief Financial Officer
https://www.linkedin.com/in/andy-peykoff-ii-485b6117/,Andy,f II,Niagara Bottling,Manufacturing,Chief Executive Officer
https://www.linkedin.com/in/michaeltrollings/,Michael,ollings,Vanguard,Financial Services,Chief Financial Officer
https://www.linkedin.com/in/john-donahoe-8b591452/,John,ohoe,Nike,Retail,Chief Executive Officer
https://www.linkedin.com/in/carl-hess-55950411/,Carl,Hess,Willis Towers Watson,Professional Services,Chief Executive Officer
https://www.linkedin.com/in/steve-flatt-8a2282166/,Steve,Flatt,National HealthCare Corporation,Healthcare,Chief Executive Officer
https://www.linkedin.com/in/carolreneejackson/,Carol,ckson,HarbisonWalker International,Manufacturing,Chief Executive Officer
https://www.linkedin.com/in/karimamorriswoods/,Karima, Woods,District of Columbia,Government,Insurance Commisioner / Director of Insurance
https://www.linkedin.com/in/blake-moret-2ab4641/,Blake,Moret,Rockwell Automation,Manufacturing,Chief Executive Officer
https://www.linkedin.com/in/ronald-tsoumas-cpa-cgma-mba-msa-9274414a/,Ronal,oumas,Methode Electronics,Manufacturing,Chief Financial Officer
https://www.linkedin.com/in/eskander/,Eskander,er Yavar,BDO,Professional Services,Partner
https://www.linkedin.com/in/kristina-salen/,Kristina,na Salen,Etsy,Technology,Chief Financial Officer
https://www.linkedin.com/in/nishnpatel/,Nish,atel,Kenwal Steel Corp,Manufacturing,Chief Financial Officer
https://www.linkedin.com/in/mark-worden-536373100/,Mark,rden,"Shoe Carnival, Inc",Retail,Chief Executive Officer
https://www.linkedin.com/in/michellegass/,Michelle,lle Gass,Kohl's,Retail,Chief Executive Officer
https://www.linkedin.com/in/gene-ludwig/,Eugene,Ludwig,Promontory Financial Group LLC,Financial Services,Chief Executive Officer
https://www.linkedin.com/in/corey-whitely-5172a459/,Corey,itely,Ethan Allen,Retail,Chief Financial Officer
https://www.linkedin.com/in/lyndaberkowitz/,Lynda,owitz,ILIA Beauty,Retail,Chief Executive Officer
https://www.linkedin.com/in/kurt-kappeler-8a417551/,Kurt,eler,Sur La Table,Retail,Chief Financial Officer
https://www.linkedin.com/in/drgeoffsmart/,Geoff,Smart,ghSMART,Professional Services,Chairman and Founder
https://www.linkedin.com/in/jeff-kramer-56561414/,Jeff,amer,Schweitzer-Manduit International,Manufacturing,Chief Executive Officer
https://www.linkedin.com/in/clarence-knox-a201a23b/,Clarence,nce Knox,Financial Alliance for Racial Equity (FARE),Financial Services,Council Member
https://www.linkedin.com/in/mike-chaney-a8a12174/,Mike,aney,Mississippi,Government,Insurance Commisioner / Director of Insurance
https://www.linkedin.com/in/ed-mullen-362a39b/,Ed,en,Physicians Mutual Insurance Company,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/cynthiaring/,Cynthia,ia Ring,Harvard Pilgrim Health Care,Healthcare,Chief Human Resources Officer
https://www.linkedin.com/in/brooks-mallard-21b9405/,Brooks,allard,Gates Corporation,Manufacturing,Chief Financial Officer
https://www.linkedin.com/in/lauren-castaldo-5384693/,Lauren,staldo,MetroPlus Health Plan,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/donna-hoffman-629b99a5/,Donna,ffman,Wyoming Medical Center,Healthcare,Chief Human Resources Officer
https://www.linkedin.com/in/peter-crawford-b8141/,Peter,wford,Charles Schwab,Financial Services,Chief Financial Officer
https://www.linkedin.com/in/curt-hartman-b94a1461/,Curt,tman,Conmed Corp,Manufacturing,Chief Executive Officer
https://www.linkedin.com/in/brian-mcnamara-75686840/?originalSubdomain=uk,Brian,amara,Haleon,Healthcare,Chief Executive Officer
https://www.linkedin.com/in/markmader/,Mark,ader,Smartsheet,Technology,Chief Executive Officer
https://www.linkedin.com/in/willem-meintjes-87a77751/,Willem,intjes,Marvell Technology,Manufacturing,Chief Financial Officer
https://www.linkedin.com/in/ian-hudson-30532632/,Ian,son,Federal Signal Corporation,Manufacturing,Chief Financial Officer
https://www.linkedin.com/in/wade-norwood-23694b3/,Wade,wood,Common Ground Healthcare Cooperative,Healthcare,Chief Executive Officer
https://www.linkedin.com/in/georgialevensonkeohane/,Georgia,Keohane,Soros Economic Development Fund,Financial Services,Chief Executive Officer
https://www.linkedin.com/in/willy-walker/,Willy,alker,Walker & Dunlop,Financial Services,Chief Executive Officer
https://www.linkedin.com/in/rodolphebereby/,Rodolphe,e Bereby,"Adore Me, Inc.",Retail,Chief Financial Officer
https://www.linkedin.com/in/erik-hoag-0956316/,Erik,Hoag,SunGard Higher Education,Education,Chief Financial Officer
https://www.linkedin.com/in/webbjsph44/,Joseph,h Webb,Nashville General Hospital,Healthcare,Chief Executive Officer
https://www.linkedin.com/in/susan-diamond-85aa592/,Susan,amond,Humana Inc.,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/andrew-libman-b343bb67/,Andrew,Libman,Libman,Manufacturing,Chief Executive Officer
https://www.linkedin.com/in/ron-kruszewski-7148aa36/,Ronald,zewski,Stifel,Financial Services,Chief Executive Officer
https://www.linkedin.com/in/elena-botella-62834228/,Elena,tella,Omidyar Network,Philanthropy,Principal
https://www.linkedin.com/in/paul-markovich/,Paul,vich,Blue Shield of California,Healthcare,Chief Executive Officer
https://www.linkedin.com/in/scott-leff-34bb7b1/,Scott, Leff,"Dorman Products, Inc",Manufacturing,Chief Human Resources Officer
https://www.linkedin.com/in/kenneth-fasola-026b127/,Kenneth, Fasola,Magellan Healthcare,Healthcare,Chief Executive Officer
https://www.linkedin.com/in/gailkboudreaux/,Gail,eaux,"Anthem, Inc.",Healthcare,Chief Executive Officer
https://www.linkedin.com/in/ellen-kelsay-69b00311/,Ellen,elsay,Business Group on Health,Healthcare,Chief Executive Officer
https://www.linkedin.com/in/tim-regan-2aa921/,Tim,gan,Dropbox,Technology,Chief Financial Officer
https://www.linkedin.com/in/drew-edwards-56338313/,Drew,ards,Tredegar Corporation,Manufacturing,Chief Financial Officer
https://www.linkedin.com/in/alan-mcclain-a4712b4/,Alan,lain,Arkansas,Government,Insurance Commisioner / Director of Insurance
https://www.linkedin.com/in/hankgalligan/,Hank,igan,BDO,Professional Services,Partner
https://www.linkedin.com/in/jonathan-godfread-35ab032b/,Jon,ead,North Dakota,Government,Insurance Commisioner / Director of Insurance
https://www.linkedin.com/in/jamie-leonard-2b892011/,Jamie,onard,Fifth Third Bancorp,Financial Services,Chief Financial Officer
https://www.linkedin.com/in/glicks/,Sam,ick,Oliver Wyman,Professional Services,Global Leader
https://www.linkedin.com/in/karstenmunkknudsen/,Karsten,Knudsen,Novo Nordisk,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/john-harrison-21660314,John,ison,Signature Healthcare,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/scott-milsten-8512a225/,Scott,lsten,E.l.f. Cosmetics,Retail,Chief People Officer
https://www.linkedin.com/in/earlparker/,Earl,rker,Commonweatlh Senior Living,Healthcare,Chief Executive Officer
https://www.linkedin.com/in/michael-fleisher-409aab24/?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAUlLokBB7Mc7TQ4jAGNLTgVzyd4ceNO_j8,Michael,leisher,Wayfair,Retail,Chief Financial Officer
https://www.linkedin.com/in/morganhw/#experience,Morgan,Waiche,"Adore Me, Inc.",Retail,Chief Executive Officer
https://www.linkedin.com/in/claysiegall/,Clay,gall,Seattle Genetics (Seagen),Healthcare,Chief Executive Officer
https://www.linkedin.com/in/martha-shannon-cpa-607a034/,Martha,hannon,Business Group on Health,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/jon-salon/,Jon,lon,MDLIVE,Healthcare,Chief Executive Officer
https://www.linkedin.com/in/arnaudplas/,Arnaud,d Plas,Prose,Retail,Chief Executive Officer
https://www.linkedin.com/in/kelvintrantd/,Kelvin,n Tran,TD Bank,Financial Services,Chief Financial Officer
https://www.linkedin.com/in/chrisnic/,Christopher,icolopoulos,New Hampshire,Government,Insurance Commisioner / Director of Insurance
https://www.linkedin.com/in/mark-mason-citi/,Mark,ason,Citibank,Financial Services,Chief Financial Officer
https://www.linkedin.com/in/sarablakely27/,Sara,kely,Spanx,Retail,Chief Executive Officer
https://www.linkedin.com/in/chris-gorman-14960413/,Christopher,r M. Gorman,KeyCorp,Financial Services,Chief Executive Officer
https://www.linkedin.com/in/matt-reintjes-0631563/,Matt,tjes,Yeti,Retail,Chief Executive Officer
https://www.linkedin.com/in/gordon-gebbens-40403119/,Gordon,ebbens,UPMC Health Plan,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/ann-powell-4544772/,Ann,ell,Bristol Myers Squibb,Healthcare,Chief Human Resources Officer
https://www.linkedin.com/in/lisaalocklear/,Lisa,lear,Avanir Pharmaceuticals,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/juan-lopez-1306456/,Juan,opez,Independence Blue Cross,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/joe-parsetich-a0bb2377/,Joe,ich,Disabled American Veterans,Philanthropy,National Commander
https://www.linkedin.com/in/richardgonzalezabbvie/,Richard,onzalez,ABBVIE,Healthcare,Chief Executive Officer
https://www.linkedin.com/in/giovanni-caforio-b826864/,Giovanni, Caforio,Bristol Myers Squibb,Healthcare,Chief Executive Officer
https://www.linkedin.com/in/chris-todd-b403ab1/,Chris, Todd,Kronos Incorporated,Professional Services,Chief Executive Officer
https://www.linkedin.com/in/sfranklin1/,Stephanie, Franklin,Vertex Pharmaceuticals,Healthcare,Chief Human Resources Officer
https://www.linkedin.com/in/danrussell/,Dan,ell,RHR International,Professional Services,Head of Assessment
https://www.linkedin.com/in/shirleyrehaolerich/,Shirley,ey Reha,"II-VI, Inc",Manufacturing,Chief Human Resources Officer
https://www.linkedin.com/in/davidmbarrett/,David,rrett,Expensify,Technology,Chief Executive Officer
https://www.linkedin.com/in/pduraibabu/,Prathyusha, Duraibabu,Sangamo Therapeutics,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/eric-aboaf-b4b2b2a/,Eric,boaf,State Street Corp.,Financial Services,Chief Financial Officer
https://www.linkedin.com/in/steve-m-burdick/,Steve,rdick,Tetra Tech,Professional Services,Chief Financial Officer
https://www.linkedin.com/in/dennis-knautz-a51b4b15/,Dennis,Knautz,ACME Brick Company,Manufacturing,Chief Executive Officer
https://www.linkedin.com/in/mprince/,Matthew, Prince,"CloudFlare, Inc.",Technology,Chief Executive Officer
https://www.linkedin.com/in/robert-ford-6a0386/,Robert,t Ford,Abbott,Healthcare,Chief Executive Officer
https://www.linkedin.com/in/alex-gorsky/,Alex,rsky,Johnson & Johnson,Healthcare,Chief Executive Officer
https://www.linkedin.com/in/iseo-pasquali-b1b39636/?originalSubdomain=ca,Iseo,uali,Deloitte,Professional Services,Chief Financial Officer
https://www.linkedin.com/in/josephwolk/,Joseph,h Wolk,Johnson & Johnson,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/emil-kakkis/,Emil,kkis,Ultragenyx Pharmaceutical,Healthcare,Chief Executive Officer
https://www.linkedin.com/in/billeisig/,Bill,isig,BDO,Professional Services,Partner
https://www.linkedin.com/in/matteo-anversa-723712a/,Matteo,nversa,Gentherm,Manufacturing,Chief Financial Officer
https://www.linkedin.com/in/sachinhjain1/,Sachin,. Jain,SCAN Health Plan,Healthcare,Chief Executive Officer
https://www.linkedin.com/in/wayneberson/,Wayne,erson,BDO,Professional Services,Chief Executive Officer
https://www.linkedin.com/in/william-t-bosway-765568187/,William, Bosway,Gibralter Industries,Manufacturing,Chief Executive Officer
https://www.linkedin.com/in/jim-gooch-2436255/,Jim,och,Land's End,Retail,Chief Financial Officer
https://www.linkedin.com/in/michael-carson-b327b66/,Michael, Carson,Harvard Pilgrim Health Care,Healthcare,Chief Executive Officer
https://www.linkedin.com/in/annie-leonard-65a00333/,Annie,onard,Greenpeace USA,Philanthropy,Co-Executive Director
https://www.linkedin.com/in/john-morici-1383492/,John,rici,Align Technology,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/steven-goldaper-18550020/,Steven,ldaper,Brooks Brothers,Retail,Chief Financial Officer
https://www.linkedin.com/in/michael-monarchi-8608b84/,Michael,onarchi,Barry-Wehmiller,Manufacturing,Chief Financial Officer
https://www.linkedin.com/in/mike-bell-4189942,Michael,el Bell,Guardant Health,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/dave-huml-427b359/,Dave,Huml,Tennant Company,Manufacturing,Chief Executive Officer
https://www.linkedin.com/in/bob-funck-6726617a/,Robert, Funck,Abbott,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/kateduchene/,Kate,hene,RGP,Professional Services,Chief Executive Officer
https://www.linkedin.com/in/victor-grizzle/,Victor,rizzle,Armstrong World Industries,Manufacturing,Chief Executive Officer
https://www.linkedin.com/in/jim-nicholson-0902b28/,Jim,son,Bissell,Manufacturing,Chief Financial Officer
https://www.linkedin.com/in/scarlett-o-sullivan-0a37a46/,Scarlett,Sullivan,Rent the Runway,Retail,Chief Financial Officer
https://www.linkedin.com/in/keyantee-davis-b565953/?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAACerTIBwKI8eMk0ha6L_ABdhBZCDELkk2Q,Keyantee,ee Davis,Saint Joseph Mercy Health System,Healthcare,Chief Human Resources Officer
https://www.linkedin.com/in/kharraz/,Oliver,harraz,ZocDoc,Healthcare,Chief Executive Officer
https://www.linkedin.com/in/brianchesky/,Brian,hesky,Airbnb,Technology,Chief Executive Officer
https://www.linkedin.com/in/tim-richmond/,Tim,ond,ABBVIE,Healthcare,Chief Human Resources Officer
https://www.linkedin.com/in/scott-burch-62269a89/,Scott,Burch,"Palisade Company, LLC",Technology,Chief Financial Officer
https://www.linkedin.com/in/michael-l-henry-237684b/,Michael,l Henry,Tilly's,Retail,Chief Financial Officer
https://www.linkedin.com/in/larry-merlo-2537ba16a/,Larry,Merlo,CVS Health,Healthcare,Chief Executive Officer
https://www.linkedin.com/in/jeff-putnam-98b37610/,Jeff,tnam,UnitedHealthcare,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/abby-maxman-7a389411/,Abby,xman,Oxfam America,Philanthropy,Chief Executive Officer
https://www.linkedin.com/in/stephen-rosenberg/,Stephen,senberg,Greystone,Financial Services,Chief Executive Officer
https://www.linkedin.com/in/ericludwig/,Eric,dwig,Glu Mobile Inc.,Technology,Chief Financial Officer
https://www.linkedin.com/in/bill-duff-94457213/,Bill,Duff,Microsoft,Technology,Chief Financial Officer
https://www.linkedin.com/in/anoop-n-mehta-cpa-cgma-2741ab1b/,Anoop,Mehta,American Institute of Certified Public Accountants (AICPA),Professional Services,Chair
https://www.linkedin.com/in/fay-west-cpa-2a614b3/,Fay,est,Tennant Company,Manufacturing,Chief Financial Officer
https://www.linkedin.com/in/vijay-advani-b5190232/,Vijay,dvani,Global Impact Investing Network,Philanthropy,Chief Executive Officer
https://www.linkedin.com/in/doug-simpson-a69881108/,Douglas,Simpson,Horizon Blue Cross Blue Shield of NJ,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/derekandersen/,Derek,ersen,Snap,Technology,Chief Financial Officer
https://www.linkedin.com/in/michael-conway-36b19a7/,Michael, Conway,Colorado,Government,Insurance Commisioner / Director of Insurance
https://www.linkedin.com/in/sarah-kirshbaum-levy-889881a1/,Sarah, Levy,Betterment,Financial Services,Chief Executive Officer
https://www.linkedin.com/in/john-maraganore-57912918/,John,nore,Alnylam Pharmaceuticals,Healthcare,Chief Executive Officer
https://www.linkedin.com/in/rocky-price-255bb86b/,Rocky,Price,Fruit of the Loom,Retail,Chief Financial Officer
https://www.linkedin.com/in/yusuf-george-09852446/,Yusuf,eorge,Engine No. 1,Financial Services,Managing Director
https://www.linkedin.com/in/heathercianfrocco/,Heather,nfrocco,Optum,Healthcare,Chief Executive Officer
https://www.linkedin.com/in/alidiab/,Ali,iab,Collective Health,Healthcare,Chief Executive Officer
https://www.linkedin.com/in/punitrenjen/,Punit,enjen,Deloitte,Professional Services,Chief Executive Officer
https://www.linkedin.com/in/michel-vounatsos-84050b2/,Michel,natsos,BIOGEN,Healthcare,Chief Executive Officer
https://www.linkedin.com/in/stephen-bush-aa7bb823/,Stephen,en Bush,Scott and White Health Plan,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/herald-chen-8871298/,Herald,d Chen,AppLovin,Technology,Chief Financial Officer
https://www.linkedin.com/in/caroline-litchfield-4569a9a8/,Caroline,tchfield,Merck,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/tom-lawless-a439031a/,Tom,ess,Common Ground Healthcare Cooperative,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/jim-walsh-83693b157/,James,Walsh,Health Care Service Corporation,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/dave-stephenson-856729/,Dave,nson,Airbnb,Technology,Chief Financial Officer
https://www.linkedin.com/in/ron-stanley-91bab69/,Ron,ley,Nixon Power Services,Manufacturing,Chief Executive Officer
https://www.linkedin.com/in/elizabeth-walker-6a87ab/,Elizabeth,th Walker,CSL Limited,Healthcare,Chief Human Resources Officer
https://www.linkedin.com/in/rick-vincent-035539110/,Rick,cent,University of Vermont Medical Center,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/sean-hehir-bab3b911/,Sean,ehir,Trinity Equity Investments,Financial Services,Chief Executive Officer
https://www.linkedin.com/in/mandy-fields/,Mandy,ields,E.l.f. Cosmetics,Retail,Chief Financial Officer
https://www.linkedin.com/in/himanshu-palsule/,Himanshu, Palsule,"Cornerstone OnDemand, Inc.",Technology,Chief Executive Officer
https://www.linkedin.com/in/anastasios-tasos-konidaris-99992731/,Anastasios, Konidaris,Amneal Pharmaceuticals,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/allen-parker-40017013/,Allen,arker,Zillow Group,Technology,Chief Financial Officer
https://www.linkedin.com/in/stephen-williamson-69698a45,Stephen,liamson,Thermo Fisher Scientific,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/rick-haines-6ab30b31/,Rick,ines,AultCare,Healthcare,Chief Executive Officer
https://www.linkedin.com/in/chris-work-a280b835/,Chris, Work,"Zumiez, Inc",Retail,Chief Financial Officer
https://www.linkedin.com/in/eugene-gosselin-0a333712b/,Eugene,sselin,Calvin Klein,Retail,Chief Financial Officer
https://www.linkedin.com/in/iainmackaygsk/,Ian,kay,GSK,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/don-kimble-5316a68/,Don,ble,KeyCorp,Financial Services,Chief Financial Officer
https://www.linkedin.com/in/tim-massa-a9ba5b2b/,Tim,ssa,Kroger,Retail,Chief People Officer
https://www.linkedin.com/in/jill-soltau-44624547/,Jill,ltau,Autozone,Retail,Chief Executive Officer
https://www.linkedin.com/in/amy-ruth-a3121a149/,Amy,uth,Guidewell,Healthcare,Chief Human Resources Officer
https://www.linkedin.com/in/todd-garner-930408/,Todd,rner,Conmed Corp,Manufacturing,Chief Financial Officer
https://www.linkedin.com/in/andymais/,Andrew,. Mais,Connecticut,Government,Insurance Commisioner / Director of Insurance
https://www.linkedin.com/in/tarang-amin-2945507/,Tarang,g Amin,E.l.f. Cosmetics,Retail,Chief Executive Officer
https://www.linkedin.com/in/jeff-cooper-707443/,Jeff,oper,"Guidewire Software, Inc.",Technology,Chief Financial Officer
https://www.linkedin.com/in/evangdaniels/,Evan,iels,Arizona,Government,Insurance Commisioner / Director of Insurance
https://www.linkedin.com/in/mala-murthy-394a3b10/,Mala,rthy,Teladoc,Healthcare,Chief Financial Officer
