PostContent,Theme
"For more than 30 years, Iâ€™ve known that Pfizer is one of the best places to work. Itâ€™s why Iâ€™ve spent so much of my career here! Now, Iâ€™m incredibly proud to see Pfizer recognized by other organizations as well. Today, Pfizer was listed as one of Forbesâ€™ top 25 Worldâ€™s Best Employers 2023, and ranked highest in the Drugs & Biotechnology industry. This recognition belongs to each and every member of our hashtag#PfizerPfamily, who not only come to work every day dedicated to advancing breakthroughs that change patientsâ€™ lives, but also bring their unparalleled spirit of kindness, generosity and camaraderie as well. It is this spirit that makes Pfizer an amazing place to work.
They say that friends are the family you choose, but I would extend that to say that colleagues are your friends and family away from home. Iâ€™m grateful to call such amazing people my colleagues. Thank you for everything that you do. hashtag#PfizerProud
https://lnkd.in/e9msA2MF",Workforce strategy
"One day is hardly enough to recognize my amazing Pfizer colleagues, so on this #EmployeeAppreciationDay, I will simply say this with more emphasis: You continuously amaze and inspire me with your dedication to our patients. Thank you for your tireless efforts to bring hope to the people who rely on our medicines and vaccines. Joy is one of our core values, and every day that I work with you is a day filled with joy.
#EmployeeAppreciationDay #EmployeeAppreciation #PfizerProud",Workforce strategy
"Delighted to have distinguished Harvard Medical School professor, Dr. Bapu Jena, on this weekâ€™s episode of Collective Healthâ€™s The Benefits Playbook podcast. Dr. Jena, who is both a physician and economist, shares his expert perspective on how to design employee health benefit plans that maximize employee productivity and retention. Thank you, Bapu, for joining us on the podcast!",Workforce strategy
"We at Collective Health realize that Open Enrollment season can be stressful, both for benefits leaders as well as for your people. To help, we've gathered some key learnings and insights that we've amassed over the last 10 years of helping innovative organizations best engage their workforces in making good health benefit decisions. I'm sharing them below.",Workforce strategy
"Thank you, Elizabeth Mitchell, Erika Fry, and Patrick Conway for being such great co-panelists at this weekâ€™s Fortune Brainstorm Health 2023 Conference. It was great discussing how employers can improve their workforceâ€™s health while also bolstering their bottom lines with you all.",Workforce strategy
"There are a lot of misconceptions surrounding self-insuring your employee health benefit plan, including having to have thousands of employees, etc. The good news is, the majority of these misconceptions are just that and arenâ€™t true.
At Collective Health, weâ€™ve made the transition to self-insurance much more turnkey and easy to manage than ever before. To learn more, please join us on August 3 for an online webinar in which weâ€™ll explain whatâ€™s involved, how much money you should expect to save, and how our platform can help simplify the transition and your day-to-day plan administration after the transition.",Workforce strategy
"Healthcare literacy is a challenge even for the most well-educated among us. As an example, 45% of Americans don't know what a deductible is. As part of our Healthcare 101 series at Collective Health, we will be de-mystifying what many unfamiliar and unexplained terms in healthcare and health benefits actually mean. It's part of our mission to make healthcare and health benefits as easy to use as the Internet.",Workforce strategy
Iâ€™m delighted to share the launch of our Collective Health 2024 Health Benefits Strategy Guide. This 24-page guide is (hopefully) a must-read for any health benefits leader considering important changes to their employee health benefits strategy for next year. Please take a look and let us know what you think!,Workforce strategy
"Many thanks to Courtney Stubblefield, David Ebersman, Sheila M. Krueger (she/her/ella), MBA, CCP, Tammy Sun, and their teams at Zoom, WTW, Carrot Fertility, and Lyra Health for their partnership and participation on todayâ€™s panel at The Conference Board employer healthcare conference in San Diego. It was great discussing how employers should best approach assembling an effective ecosystem of employee healthcare programs and partners and what the role of platforms like Collective Health can and should play in that effort.
Thank you all. ðŸ™ðŸ½",Workforce strategy
"Very excited to share our latest Collective Health Analytics Services Report in partnership with Harvard Business Review that shows how an integrated health benefits platform like Collective Health can empower organizations and benefits leaders to get the most out of their employee health benefit programs.
If youâ€™re interested in learning more about how we at Collective Health can help your company or organization drive more value from your healthcare investment, please tap or click the â€œSchedule a Demoâ€ button on our website!",Workforce strategy
Wonderful to see Collective Health's very own Abbie Buck on an all-star panel of HR and benefits leaders discuss how employers should think about evolving their employee benefits focused on health and well-being. Worth a watch if you're interested in how benefits can positively impact your workplace strategy.,Workforce strategy
Collective Healthâ€™s very own Dr. Ari Hoffman sat down with PwCâ€™s Igor Belokrinitsky to discuss how employers can maximize the value of their healthcare budgets and objectively assess what works and what doesnâ€™t on the PwC Next in Health podcast. Details below!,Workforce strategy
"So proud of Collective Health being awarded a Best Workplaces award in the Financial Services & Insurance industry segment by Fortune this year!!! Congratulations, team!!!!! ðŸ‘ ðŸ‘ ðŸ‘",Workforce strategy
"Very excited to be sharing the stage with our Collective Health partners Carrot Fertility, Lyra Health, WTW, and Zoom at The Conference Board next week in San Diego. Looking forward to discussing how forward-thinking employers should evaluate the ROI of their employee healthcare investments alongside Courtney Stubblefield, David Ebersman, Sheila M. Krueger (she/her/ella), MBA, CCP, and Tammy Sun.",Workforce strategy
"At Collective Health, we spend a lot of time thinking about how employers can make their employee health benefit plans much more inclusive and how they can be tailored to drive their #deib strategies. To learn more, please see below.",Workforce strategy
"Yesterday, we at Collective Health had to say goodbye to 54 valued teammates as part of a workforce reduction. These colleagues fully embody our company values of engaging authentically, following your curiosity, connecting with empathy, and daring to solve hard problems and would make great additions to any team that is hiring. If youâ€™re hiring and encounter any of them during your hiring process, please give them your strong consideration.",Workforce strategy
"I am thrilled to announce two major additions to the leadership team at DocuSign. Robert Chatwani is joining as President and General Manager, Growth, and Anwar Akram is joining as Chief Operating Officer. Robert comes from Atlassian, where he was Chief Marketing Officer, and Anwar comes from Google, where he was VP, Operational Effectiveness. They join Steve Shute, Inhi Suh, Cynthia Gaylor, Shanthi Iyer, Jennifer Christie and Jim Shaughnessy on the executive leadership team. Proud to be working with all of them!",Workforce strategy
"I am pleased to welcome Anna Marrs, Group President of Global Commercial Services and Credit & Fraud Risk at American Express to DocuSign's board of directors! As a fantastic operating executive with deep global experience, she will be a great asset to the board, and to the leadership team, as we continue to focus on International expansion.
https://lnkd.in/gdFJWjuA",Workforce strategy
At Rackspace Technology our purpose is â€œto empower the worldâ€™s inspiring missions.â€ This week I was honored to participate on a panel at the MIT Sloan CIO Symposium where we discussed the Digital Enterprise of 2030 and some of the challenges leaders will face in developing the workforce and the evolving ways of working. Every day I am motivated by Rackers during this transformative time and for their relentless desire to live out our purpose and help our customers achieve their own inspiring missions. #MITCIO,Workforce strategy
"Welcome, Jim Ginther, Kevin Weaver, and U.S. Compliance (Environmental, Health & Safety Consulting). Excited to have more Minneapolis DNA in the family!",Workforce strategy
"Algorics today announced the addition of three new members to its board and leadership team, to accelerate growth, drive innovation and strengthen its strategic direction.
Alan Morgan will be joining Algorics as a member of the Board of Directors, Gregory Steffens as Strategic Advisor, and Stephen Boccardo as SVP of Business Development and Commercial Strategy.
""Each of these individuals brings a wealth of experience and insight that will be invaluable as Algorics continues to evolve and grow,"" said Nithiya Ananthakrishnan, Founder & CEO of Algorics Inc. ""Their deep industry knowledge and leadership will be critical as we work towards our strategic objectives.""
Read the full press release:
Website: https://lnkd.in/g-bui7pj
PRNewswire: https://lnkd.in/gsFvHnNw",Workforce strategy
"Tenable's favorite CFO ðŸ˜†, Steve Vintz, share's some insights into how CFO's can engage with security teams to help organizations better and more efficiently manage risk.
https://lnkd.in/du82Zdwv",Workforce strategy
I am thrilled to welcome Margaret Keane to Tenable's Board of Directors. She brings a wealth of technology leadership experience to the table.,Workforce strategy
"GenAIâ€™s role in the workplace is hotly debated. Who better to weigh in than Vectara CEO Amr Awadallah? He joined Dan Turchin, CEO of PeopleReign, on the AI and the hashtag#FutureofWork podcast ðŸ’¼
Their conversation ranged from hashtag#neuralnetworks and hashtag#semanticsearch to big questions on the future of truth ðŸ’¡ Itâ€™s thought-provoking listening perfect for holiday travel â¬‡ ðŸ”— https://lnkd.in/gCkENqRF
hashtag#EnterpriseAI hashtag#SemanticSearch hashtag#ArtificialIntelligence",Workforce strategy
"Check out this insightful post by my Cloudera cofounder, Mike Olson, on the role of a board of directors. According to Mike, a well-constructed board is a crucial governance construct that amplifies the strategic effectiveness of companies. Don't miss out on this sage advice! https://lnkd.in/g4N98uFf",Workforce strategy
"In case you missed it, our Head of Global Talent Acquisition @Aileen Ajlouni shares her tips for hiring success in the competitive world of AI recruiting â­
https://lnkd.in/gt7E5YCJ
#AIRecruiting #TechTalent",Workforce strategy
"How can you scale a successful AI startup? Our Head of Global Talent Acquisition Aileen Ajlouni, MA shares her tips for recruiting success in the fast-paced world of AI:
âœ… Be proactive vs. reactive
âœ… Build a diverse team
âœ… Support remote work
https://lnkd.in/gGjKw3XQ
#AIDevelopers #AICareers #SFTech",Workforce strategy
"An incredible opportunity and honor to hear and spend time with Tim Ryan, PwC. He shared his story, similar to so many, there was someone in the profession that inspired him! Tim said PwC employees can expect a commitment to upskilling similar to benefits like health insurance, 401k. Strong believer in transparency. He said the #cpa profession doesnâ€™t have a pipeline issue; we have a retention problem. His fireside chat with Barry Melancon, CPA, CGMA was insightful. Would have loved to work for Tim.
My presentation with Barry focused on #humancapital. How the #cpa #profession must adopt a #peoplefirst approach. Continue to embrace innovation and agility and remain invested in digital world and always deliver on trust. Perception of work is changing, young professionals are looking to be valued as individuals, having flexibility, purpose driven, having a sense of belonging and having opportunities for growth (#ey). These are keys to retaining talent.
Great to connect with my fellow board members and friends: Carla McCall, CPA, CGMA, Jonyce Bullock, Lexy Kessler, Matt Snow, Alan Whitman. Avani D..
#pwc #innovation #opportunity #digital #growth #pipeline",Workforce strategy
"In the latest op-ed by Barbara Humpton, Siemens Foundation Board Chairman, and CEO of Siemens USA, she asks, â€œHow do we bring more people into this new era for U.S. manufacturing?â€
To meet Americaâ€™s urgent workforce needs we have to engage and prepare workers from all backgrounds. Our new initiative, EVeryone Charging Forwardâ„¢ aims to do just that. Along with our partners, weâ€™re creating an inclusive workforce in the #EV charging sector by providing training, work based learning, wrap around support, and certification for in-demand EV charging jobs in manufacturing, installation and maintenance.",Workforce strategy
"Excited to announce our growth investment in MentorcliQ, a leader in employee mentoring software. PSGâ€™s investment will help support Phil George and the rest of the MentorcliQ team as they look to accelerate product innovation, expand their DEI offerings and grow their business to meet the rising demand of Fortune 500 companies that are looking to implement employee mentoring solutions. â€œMentorcliQ has created a highly differentiated product offering and exhibited significant leadership in the mentorship technology space. We are excited to partner with the MentorcliQ team and support their mission of innovating and positively impacting the employee experience,â€ commented Christopher Nesbitt, Principal at PSG. https://bit.ly/3ynXD0A
hashtag#growthequity hashtag#mentoring hashtag#software hashtag#diversityandinclusion",Workforce strategy
"The Academy of Advanced Manufacturing (AAM) is one of the innovative ways Rockwell Automation is addressing the workforce skills gap, while at the same time giving our hard-working military veterans opportunities for family-sustaining careers after their service. We launched AAM in 2017 with our partner ManpowerGroup, and itâ€™s one of the Rockwell initiatives that I am most proud of.
Iâ€™m pleased to work with Business Roundtable to highlight innovative solutions such as AAM that can help solve the countryâ€™s workforce issues. No one can do it alone. We need to be creative and team up with partner organizations that share our values.",Workforce strategy
"Building, empowering, and protecting our manufacturing workforce is critically important! The winning hand includes highly trained, engaged people working in concert with cutting-edge technology and automation. I explore this in my #wef23 blog, and I'm looking forward to discussing this at the World Economic Forum Annual Meeting in Davos.",Workforce strategy
"""Gallup surveys show that two out of three employees are disengaged to some degreeâ€”loudly proclaiming that culture is an essential component to business success."" Check out a new novel by our friend, George Saiz, former President & CEO of The Association for Manufacturing Excellence (AME), We Started With Respect. Here's what BW CEO, Bob Chapman, said about it:
â€œYouâ€™ll be drawn in by the compelling story that unfolds and energized by the lessons it reveals. If youâ€™re serious about transforming your team, your department, your organization, let We Started with Respect be your guidebook to improving your leadership and the precious lives in your span of care!""
Learn more: https://lnkd.in/dHQjtgm5
#business #success #leadership #ceo #manufacturing #culture #team",Workforce strategy
"â€œThe culture of this organization is very important to me and is one that I take very seriously with people in my span of care. As member of the People Team, you are a steward for the organization's culture. Measuring success in the ways we touch the lives of people is an important statement. And you see it in every hallway, in every division.â€
Watch a new installment in our ""Better Work. Better World."" series spotlighting team members across our organization in the video below and read more about Hassan Awil of our Accraply and Pneumatic Scale Angelus BW Packaging companies here: https://lnkd.in/gXA4XVRr
Want to join the Barry-Wehmiller family? Find your new career here:
https://lnkd.in/gPJSrugv
#leadership #business #management #leadershipdevelopment #managementskills #hr #humanresources #consciousbusiness #consciouscapitalism #recruiting ##manufacturing",Workforce strategy
"With the right partner, big institutions can respond to market conditions more quickly than youâ€™d think.
The New York Times' Natasha Singer notes UT Austinâ€™s new disruptively priced masterâ€™s in AI with edX has a built-in audience of those thousands affected by recent #TechLayoffs. Theyâ€™ve seen the headlines, theyâ€™ve experienced the tech â€“ now they want the skills. #NoBackRow #AI #ML",Workforce strategy
"We recently had the opportunity to share perspective on BDâ€™s strategy at the recent Wells Fargo Healthcare Conference in Boston. Tom Polen and I sat down for a fireside chat with medical device analyst, Larry Biegelsen, where we discussed progress against our BD 2025 strategic priorities, including the recent FDA 510(k) clearance for our updated BD Alaris Infusion System, key high-growth platforms and new innovations that are contributing to our strong financial performance. Listen in here: https://lnkd.in/ePudMfAF",Workforce strategy
"Ideagen's latest acquisition could revolutionize the way compliance professionals protect the world. Op Central's innovative AI solution creates geographic and industry specific standard operating procedures and training material in seconds, then automatically distributes them into the hands of those on the frontline.
This new partnership enables us to provide something we know is on the wishlist of every compliance professional â€¦ time.
Here's to a new chapter of growth and support to the safe hands and trusted voices that protect the world. ðŸŽ‰ Read more âž¡https://okt.to/21tiyY",Workforce strategy
"Investing in our communities begins with a deep understanding of our neighborhoods and an enduring commitment to help our communities thrive. KeyBank is proudly headquartered in Cleveland, Ohio, a community of diverse people, incredible cultures, and rich history. It was a privilege to recently tour the city with councilmembers, learn more about their wards, and connect with residents. Thank you Council President Blaine Griffin, Councilmember Deborah Gray, and Councilmember Joe Jones for your time and insights. I look forward to working alongside each of you as we continue to invest in the Cleveland community and build brighter futures for the next generation.",Workforce strategy
"It's been fantastic to spend time over the past several months meeting with our colleagues and partners around the world. Listening and sharing feedback during these visits always provides new perspectives for both myself and the local teams on how we can improve our work. Here are some moments that stand out for me:
âž¤ Touring our Lessines site in Belgium, where the team is embedding digital technologies to drive performance, capacity and environmental sustainability
âž¤ Celebrating the inauguration of our state-of-the-art facility in Singen, Germany, which is dedicated to drug substance manufacturing for our dengue vaccine
âž¤ Seeing the impressive creativity and dedication of our Brooklyn Park, Minnesota team, as they implement new processes that increase productivity while reducing our impact on the planet
âž¤ Visiting Brazil and Argentina, two dengue-endemic countries, where I spoke with leaders about how we can work together to help reduce the burden of dengue
Iâ€™m so proud of our global team. Their passion is the foundation for us to be able to deliver life-transforming treatments for patients. #TeamTakeda",Workforce strategy
"Excited about the #AI, #HybridWork & Customer Experience innovations being announced at #WebexOne next week. Thank you Jeetu Patel, Javed Khan, and the entire team for continuing to deliver on our hybrid work portfolio and preparing a remarkable event! https://lnkd.in/e4EWhDFF",Workforce strategy
"Is your company resistant to hashtag#change? The signs arenâ€™t always obvious. Check out this article for 10 signs that your company isnâ€™t eager to change, how to identify them, and when to try something new.",Workforce strategy
"Does your future-of-work strategy have a cost component? â€‹
Interestingly our research found that less than half of leaders consider it. Which means other levers are ranked before it, like tech and data:",Workforce strategy
"Thereâ€™s a shift looming with companies looking inward for growth. Our research found that leaders are prioritizing internal talent to future-proof the business. â€‹
â€‹Translation? Talent upskilling and reskilling have significantly jumped the line.",Workforce strategy
Interesting to hear Ann Pickeringâ€™s views on what sheâ€™s seeing market place in terms of workforce transformation. Watch in full here: https://lnkd.in/gH4STmn2,Workforce strategy
"Change management demands a change in mindset. This article from HBR discusses how to boost your â€œflux capacityâ€ (your tolerance for change). If youâ€™re like me and thought this was a reference to â€œBack to the Future,â€ itâ€™s probably worth a read.",Workforce strategy
"The demand for skills is evolving at an unprecedented pace. Upskilling and reskilling alone won't suffice. In our latest blog, our workforce and technology experts explain how capabilities can change the game for your business and create the foundation for a talent mobility system that enables agility, adaptability, and resilience.",Workforce strategy
Are your expectations for your digital transformation balanced?,Workforce strategy
Feeling overwhelmed by your decision to become a data-driven organization? This article breaks it down so you can see the light at the end of the transformation tunnel:â€‹,Workforce strategy
Many organizations struggle to align their employees to the company strategy. You may be experiencing the same. But itâ€™s a problem that can be solved. Inc. suggests a few ways to facilitate greater alignment:,Workforce strategy
"As consumers pull back spending, retailers must optimize their people to produce greater value now while building the skills needed for the future. Learn exactly how from our experts in people-centric change and transformation:",Workforce strategy
An aging workforce and the long-term slowing in population growth are threatening many financial services organizations. Long-term success hinges on your ability to quickly and effectively adapt to change by reskilling your workforce. Our blog explores how you can effectively manage talent to close the knowledge gap and address critical barriers to transformation:â€‹,Workforce strategy
"Making judgment calls today is not about a gut feeling, but a compelling insight. And sometimes that insight comes from the outside. Our study found that leaders with transformation partners made more data-driven decisions.",Workforce strategy
"The last few years have demanded that Hospitality companies embrace intentional flexibility within their workforce structures. Itâ€™s the only way to quickly react to change.
https://lnkd.in/dinU6_-Z",Workforce strategy
"Financial services companies donâ€™t have the luxury of making workforce decisions that arenâ€™t cost effective. But by prioritizing strategic skill development, this industry can unlock success without breaking the bank. Find out how:",Workforce strategy
"Have a watch of Juan Ignacio Echeverria, CPO at Santander UK, in conversation with Barbara Ray, North Highland President. He talks about why you must consider your people throughout your transformationâ€”they really are the crucial ingredient to success or failure. https://lnkd.in/g6MBd_qu",Workforce strategy
"For consulting industry players, 2023 is a year to refocus, reorient, and reimagine. And the office of the CMO is leading the charge. In a new report from Source Global Research, North Highland Managing Director and CMO Matthew Klein joins fellow CMOs of leading global consultancies to discuss how the firm is adapting to exceed client needs during times of change.",Workforce strategy
"For financial services players, culture helps to establish cohesion across employees, processes, and ways of working. Thatâ€™s why weâ€™re excited to share that North Highland is recognized by Forrester in The Organizational Culture Consulting Services Landscape, Q3 2023.",Workforce strategy
"Have you ever wondered the secret to driving progress? â€‹
Our research found that adaptive operations are key. This insight may seem simple but the formula to adaptability takes many levers. Our research flags a few: https://lnkd.in/de_Sz3m4",Workforce strategy
"Maximizing employee value is crucial for businesses today, and an optimized talent reinforcement system is key. Learn how to design, deploy and scale this system enterprise-wide to realize the ""people ROI.""",Workforce strategy
"Check out my colleague, Ala Battikhi, on the panel at the recent IBTTA Technology Summit! He presented four questions that must be asked and answered to effectively jumpstart your transformation. The questions were focused on optimizing productivity and preparing your workforce for change, advancing data and tech to enable your organization, acquiring capability to be effective, enable growth and drive efficiency, and managing and scaling execution of complex initiatives. North Highland can help answer these questions. Check out this video to learn more:",Workforce strategy
"The workforce is the backbone of any hospitality company. And if anything, the last two years have required companies to embrace intentional flexibility within workforce structures for quicker response to change. To keep it dynamicâ€”and for the hospitality industry to move forwardâ€”transformation is a no-brainer. Hereâ€™s a blog with all the need-to-knows:",Workforce strategy
"For the healthcare industry, staffing challenges aren't letting up. Our latest blog post explores a framework for addressing endemic workforce challenges and building a workforce for the future. From employee-led talent mobility systems to human-centered transformation practices, healthcare leaders can optimize their workforce and generate greater ""People ROI.""",Workforce strategy
"I've been reading about how ways of working are changing in the Life Sciences industry and found remote workforce strategies, reduction to hiring plans, and a favorable job market for candidates are leading the charge as the top trends to watch this year.
Were you aware of these trends?",Workforce strategy
"Something as simple as the questions managers ask their field reps before and after meetings can make or break your culture. Hear directly from Geoff Nocar, Lead, HCP Experience at GSK just how important it is to properly prepare your field force to digitally interact with HCPs.",Workforce strategy
"Thinking about making coming into the office full-time mandatory? You may want to reconsider. Job seekers are drawn to companies that offer a flexible or #hybrid work model, while full-time in-office employers are lagging in adding headcount. Get the stats in this article and letâ€™s discuss your #strategy.",Workforce strategy
"When enacting a big #change, everyone in your organization should be included in the conversation. Communicating with empathy during the process increases employee support. Skipping this step could cause your #transformation to fail. Read more here and letâ€™s discuss how you can put these tips into practice.",Workforce strategy
"You and I both know that being a successful leader requires certain skills. But vulnerability and authenticity are two that often go undervaluedâ€”and underutilized.
On a recent episode of The Leadership Foundry podcast, our MD and Global Leader of Strategy and Management Consulting Navid Ahdieh shares his story. He reveals his unique take on how intertwining your life journey with your leadership journey can benefit your teams.
Hint: itâ€™s giving #tedlasso
ðŸŽ§ Listen here:",Workforce strategy
"Our event with Women in Transport was such a success! Our keynote and panel discussion provided so many enlightening takeaways. I especially like this one: For women to make the most of the future of work they need to be demanding with their organization about what works for them, relentlessly learn and reskill in line with the market trends, and be open to new opportunities utilizing their network to promote themselves. Great stuff!",Workforce strategy
"This is Digital, Episode 15: How AI and the Next Generation of Employees are Shaping the Workplace",Workforce strategy
"As the leader of West Monroeâ€™s AI Lab, I get a lot of questions about generative AI.
Should it be a bottoms-up or top-down approach? Is gen AI really all its cracked up to be? What is your best advice to accelerate adoption? I answered these questions and more in this article for Crains. https://lnkd.in/g2YgAyqf
If youâ€™re looking for a hands-on partner to help accelerate your companyâ€™s adoption of AI, ML, or generative AI, West Monroe is ready to helpâ€”reach out and weâ€™ll set up a conversation.
#generativeAI #business #innovation #future",Workforce strategy
"This is Digital, Episode 15: How AI and the Next Generation of Employees are Shaping the Workplace",Workforce strategy
"Great company culture is hard to define and hard to pursue - but we're starting to crack that nut at Mission Driven Financeâ„¢. Excited to see our Camelid Congress and Vested VicuÃ±a Vehicle coming together to improve how employees engage with each other, the company, and our investment portfolios. (And yes, we're #hiring.)",Workforce strategy
"It was truly a highlight to participate at the Fortuneâ€™s Most Powerful Womenâ€™s event this week. In particular, I had the opportunity to be a part of a panel focused on â€œCreating and Measuring an Engaged Workforceâ€ alongside CHROs, Ellyn Shook, Tracy Layney and Kim Seymour. The discussions ranged from the role companies play in supporting the mental health of employees, embracing GenAI to drive productivity, and driving an always on environment of listening. It was a pleasure to discuss best practices and underscored the role of People/Human Resources is playing to drive business performance across sectors. It was also inspiring to hear from our CEO of Walmart International, Kathryn McLay, on her new role and the potential for impact and growth in our 18 international countries around the world. Finally, it was a great reminder to take time for our own development and networking. There were so many amazing women in attendance who are making this world a better place. Iâ€™m feeling energized heading into the back half of the week. hashtag#FortuneMPW hashtag#Leadership hashtag#TeamWalmart",Workforce strategy
"From a cashier to the campus offices, Heather Oliveri, shares her story that highlights the endless possibilities of a career with Walmart. â€œI thought this was going to be the job that got me through college. I learned you can be ANYTHING at Walmart. There are so many jobs and fascinating career opportunities [here].â€ Associate stories from around the world inspire me every day about whatâ€™s possible for the next generation of leaders at Walmart. Did you know? Our current President and CEO of Walmart, Inc., Doug McMillon, and President and CEO of Walmart U.S., John Furner, both began their careers with the company working in frontline roles over 30 years ago. Whether youâ€™re looking to build a career in retail, business, technology, marketing, healthcare, transportation, supply chain, or more...thereâ€™s a place for you at Walmart. Learn more about Heather and her career journey in the video below. #TeamWalmart #Opportunity #APathforEveryone",Workforce strategy
"I had the honor of doing TWO Gas Up's today! Celebrating THREE Year Licenses at Commonwealth Senior Living at Fredericksburg and Chesterfield! Thank you to both teams for their amazing work to improve the lives of residents, their families, and each other! #celebratesuccess #greatplacetowork #pineapplepeople",Workforce strategy
Had the pleasure of doing another Gas Up for the Commonwealth Senior Living at Churchland House team to celebrate their Two Year license. #celebratesuccess #pineapplepeople #greatplacetowork,Workforce strategy
"Many employers view well-being as a key part of their workforce strategy, more so now than in the past. And despite ongoing economic pressures, the vast majority will maintain or boost their investment in well-being programs, according to the 14th Annual Employer-Sponsored Health & Well-Being Survey, fielded by Fidelity Investments and Business Group on Health. https://okt.to/uagzvQ",Workforce strategy
